time,x,y,target_x,target_y
0,0,0,50,50
0.1,3.505,3.505,50,50
0.2,7.73925,7.73925,50,50
0.3,12.5785,12.5785,50,50
0.4,17.8935,17.8935,50,50
0.5,23.5525,23.5525,50,50
0.6,29.4245,29.4245,50,50
0.7,35.3811,35.3811,50,50
0.8,41.2997,41.2997,50,50
0.9,47.0651,47.0651,50,50
1,52.5714,52.5714,50,50
1.1,57.7238,57.7238,50,50
1.2,62.4397,62.4397,50,50
1.3,66.6497,66.6497,50,50
1.4,70.2984,70.2984,50,50
1.5,73.3443,73.3443,50,50
1.6,75.7605,75.7605,50,50
1.7,77.5337,77.5337,50,50
1.8,78.6645,78.6645,50,50
1.9,79.1657,79.1657,50,50
2,79.0623,79.0623,50,50
2.1,78.3897,78.3897,50,50
2.2,77.1926,77.1926,50,50
2.3,75.5238,75.5238,50,50
2.4,73.4424,73.4424,50,50
2.5,71.0124,71.0124,50,50
2.6,68.3012,68.3012,50,50
2.7,65.3781,65.3781,50,50
2.8,62.3128,62.3128,50,50
2.9,59.1738,59.1738,50,50
3,56.0274,56.0274,50,50
3.1,52.9364,52.9364,50,50
3.2,49.959,49.959,50,50
3.3,49.959,49.959,50,100
3.4,47.1479,50.6529,50,100
3.5,44.5498,52.289,50,100
3.6,42.2042,54.7827,50,100
3.7,40.1437,58.0372,50,100
3.8,38.3934,61.946,50,100
3.9,36.971,66.3954,50,100
4,35.8863,71.2674,50,100
4.1,35.1424,76.4421,50,100
4.2,34.7351,81.8002,50,100
4.3,34.6539,87.2253,50,100
4.4,34.8823,92.6061,50,100
4.5,35.3988,97.8385,50,100
4.6,36.1772,102.827,50,100
4.7,37.1876,107.486,50,100
4.8,38.3972,111.741,50,100
4.9,39.7709,115.531,50,100
5,41.2724,118.806,50,100
5.1,42.865,121.529,50,100
5.2,44.5121,123.678,50,100
5.3,46.1779,125.24,50,100
5.4,47.8284,126.218,50,100
5.5,49.4318,126.624,50,100
5.6,50.9588,126.483,50,100
5.7,52.3834,125.826,50,100
5.8,53.6831,124.695,50,100
5.9,54.8389,123.14,50,100
6,55.8359,121.214,50,100
6.1,56.6631,118.976,50,100
6.2,57.3134,116.487,50,100
6.3,57.7838,113.811,50,100
6.4,58.0748,111.011,50,100
6.5,58.1907,108.15,50,100
6.6,58.1386,105.287,50,100
6.7,57.9291,102.479,50,100
6.8,57.5748,99.779,50,100
6.9,57.0909,97.2346,50,100
7,56.494,94.8875,50,100
7.1,55.8023,92.7733,50,100
7.2,55.0347,90.921,50,100
7.3,54.2105,89.3529,50,100
7.4,53.3493,88.0844,50,100
7.5,52.4701,87.124,50,100
7.6,51.5914,86.4737,50,100
7.7,50.7305,86.1293,50,100
7.8,49.9036,86.0808,50,100
7.9,49.1251,86.3127,50,100
8,48.4077,86.8049,50,100
8.1,47.7625,87.5333,50,100
8.2,47.198,88.4704,50,100
8.3,46.7211,89.5861,50,100
8.4,46.3363,90.8484,50,100
8.5,46.0463,92.2242,50,100
8.6,45.8514,93.6799,50,100
8.7,45.7504,95.1822,50,100
8.8,45.74,96.6988,50,100
8.9,45.8154,98.1989,50,100
9,45.9704,99.6535,50,100
9.1,46.1975,101.036,50,100
9.2,46.4883,102.324,50,100
9.3,46.8333,103.496,50,100
9.4,47.2229,104.536,50,100
9.5,47.6468,105.431,50,100
9.6,48.0947,106.17,50,100
9.7,48.5564,106.747,50,100
9.8,49.022,107.161,50,100
9.9,49.482,107.411,50,100
10,49.9277,107.502,50,100
10.1,50.3509,107.442,50,100
10.2,50.7445,107.239,50,100
10.3,51.1024,106.905,50,100
10.4,51.4195,106.454,50,100
10.5,51.6916,105.902,50,100
10.6,51.9159,105.265,50,100
10.7,52.0906,104.561,50,100
10.8,52.215,103.806,50,100
10.9,52.2893,103.02,50,100
11,52.3148,102.218,50,100
11.1,52.2938,101.419,50,100
11.2,52.2292,100.637,50,100
11.3,52.1247,99.8871,50,100
11.4,51.9845,99.1825,50,100
11.5,51.8135,98.5346,50,100
11.6,51.6167,97.953,50,100
11.7,51.3994,97.4457,50,100
11.8,51.1671,97.0185,50,100
11.9,50.9251,96.6755,50,100
12,50.6789,96.4189,50,100
12.1,50.4335,96.249,50,100
12.2,50.1938,96.1642,50,100
12.3,49.9641,96.1617,50,100
12.4,49.7485,96.2368,50,100
12.5,49.5505,96.3839,50,100
12.6,49.373,96.5959,50,100
12.7,49.2184,96.8652,50,100
12.8,49.0885,97.1832,50,100
12.9,48.9845,97.5409,50,100
13,48.907,97.929,50,100
13.1,48.8562,98.3382,50,100
13.2,48.8314,98.7591,50,100
13.3,48.8314,98.7591,100,100
13.4,52.3369,99.1827,100,100
13.5,56.5953,99.6006,100,100
13.6,61.4808,100.005,100,100
13.7,66.8618,100.388,100,100
13.8,72.6043,100.743,100,100
13.9,78.5745,101.066,100,100
14,84.6415,101.351,100,100
14.1,90.6796,101.595,100,100
14.2,96.5708,101.795,100,100
14.3,102.206,101.95,100,100
14.4,107.489,102.059,100,100
14.5,112.333,102.122,100,100
14.6,116.667,102.142,100,100
14.7,120.432,102.119,100,100
14.8,123.587,102.056,100,100
14.9,126.102,101.958,100,100
15,127.962,101.827,100,100
15.1,129.167,101.669,100,100
15.2,129.729,101.488,100,100
15.3,129.672,101.289,100,100
15.4,129.032,101.076,100,100
15.5,127.854,100.855,100,100
15.6,126.19,100.63,100,100
15.7,124.101,100.407,100,100
15.8,121.651,100.189,100,100
15.9,118.909,99.981,100,100
16,115.946,99.7858,100,100
16.1,112.831,99.6069,100,100
16.2,109.636,99.4469,100,100
16.3,106.428,99.3079,100,100
16.4,103.272,99.1915,100,100
16.5,100.226,99.0988,100,100
16.6,100.226,99.0988,100,50
16.7,97.3463,95.5252,100,50
16.8,94.6795,91.2466,100,50
16.9,92.2671,86.3867,100,50
17,90.1429,81.074,100,50
17.1,88.3329,75.4387,100,50
17.2,86.8557,69.6103,100,50
17.3,85.7222,63.7152,100,50
17.4,84.9359,57.8737,100,50
17.5,84.4932,52.1988,100,50
17.6,84.3838,46.7936,100,50
17.7,84.5916,41.7505,100,50
17.8,85.0948,37.1495,100,50
17.9,85.8672,33.0572,100,50
18,86.8786,29.5267,100,50
18.1,88.0957,26.597,100,50
18.2,89.4831,24.2929,100,50
18.3,91.0037,22.6256,100,50
18.4,92.6202,21.5929,100,50
18.5,94.2952,21.1803,100,50
18.6,95.9921,21.3616,100,50
18.7,97.6763,22.1006,100,50
18.8,99.315,23.3516,100,50
18.9,100.878,25.0618,100,50
19,102.339,27.1717,100,50
19.1,103.674,29.6175,100,50
19.2,104.864,32.3322,100,50
19.3,105.894,35.2471,100,50
19.4,106.751,38.2934,100,50
19.5,107.428,41.4034,100,50
19.6,107.922,44.512,100,50
19.7,108.233,47.5576,100,50
19.8,108.366,50.4833,100,50
19.9,108.326,53.2378,100,50
20,108.125,55.776,100,50
20.1,107.775,58.0594,100,50
20.2,107.292,60.0569,100,50
20.3,106.693,61.7447,100,50
20.4,105.995,63.1064,100,50
20.5,105.218,64.1331,100,50
20.6,104.382,64.8229,100,50
20.7,103.507,65.1807,100,50
20.8,102.612,65.2178,100,50
20.9,101.716,64.9512,100,50
21,100.836,64.4029,100,50
21.1,99.9902,63.5994,100,50
21.2,99.1923,62.5706,100,50
21.3,98.4558,61.3494,100,50
21.4,97.7918,59.9707,100,50
21.5,97.2096,58.4705,100,50
21.6,96.7161,56.8852,100,50
21.7,96.3162,55.2509,100,50
21.8,96.0127,53.6028,100,50
21.9,95.8062,51.9742,100,50
22,95.6955,50.3964,100,50
22.1,95.6774,48.8979,100,50
22.2,95.7473,47.5039,100,50
22.3,95.8988,46.2364,100,50
22.4,96.1244,45.1134,100,50
22.5,96.4156,44.1493,100,50
22.6,96.763,43.3544,100,50
22.7,97.1565,42.735,100,50
22.8,97.5859,42.2938,100,50
22.9,98.0406,42.0297,100,50
23,98.5101,41.9381,100,50
23.1,98.9845,42.0113,100,50
23.2,99.4539,42.2388,100,50
23.3,99.9094,42.6075,100,50
23.4,100.343,43.1024,100,50
23.5,100.746,43.7065,100,50
23.6,101.114,44.4021,100,50
23.7,101.441,45.1701,100,50
23.8,101.722,45.9914,100,50
23.9,101.954,46.8467,100,50
24,102.136,47.7173,100,50
24.1,102.267,48.585,100,50
24.2,102.347,49.4328,100,50
24.3,102.377,50.2449,100,50
24.4,102.359,51.0073,100,50
24.5,102.296,51.7076,100,50
24.6,102.193,52.3353,100,50
24.7,102.053,52.882,100,50
24.8,101.881,53.3414,100,50
24.9,101.682,53.7091,100,50
25,101.462,53.983,100,50
25.1,101.226,54.1627,100,50
25.2,100.98,54.25,100,50
25.3,100.73,54.2481,100,50
25.4,100.479,54.1622,100,50
25.5,100.234,53.9984,100,50
25.6,99.9992,53.7644,100,50
25.7,99.7781,53.4687,100,50
25.8,99.5747,53.1205,100,50
25.9,99.392,52.7296,100,50
26,99.2324,52.3062,100,50
26.1,99.0978,51.8605,100,50
26.2,98.9896,51.4024,100,50
26.3,98.9896,51.4024,0,0
26.4,91.8983,47.4368,0,0
26.5,83.3757,42.7487,0,0
26.6,73.6697,37.471,0,0
26.7,63.0381,31.7407,0,0
26.8,51.7427,25.6965,0,0
26.9,40.0441,19.4756,0,0
27,28.1965,13.211,0,0
27.1,16.4429,7.0293,0,0
27.2,5.01108,1.04847,0,0
27.3,-5.89006,-4.62404,0,0
27.4,-16.0738,-9.8928,0,0
27.5,-25.3779,-14.6757,0,0
27.6,-33.6664,-18.9047,0,0
27.7,-40.8313,-22.5267,0,0
27.8,-46.7925,-25.5032,0,0
27.9,-51.4984,-27.8111,0,0
28,-54.925,-29.4414,0,0
28.1,-57.075,-30.3993,0,0
28.2,-57.9763,-30.7029,0,0
28.3,-57.6801,-30.3824,0,0
28.4,-56.2583,-29.4785,0,0
28.5,-53.8013,-28.0414,0,0
28.6,-50.4149,-26.129,0,0
28.7,-46.2177,-23.8054,0,0
28.8,-41.3375,-21.1395,0,0
28.9,-35.9088,-18.203,0,0
29,-30.0696,-15.069,0,0
29.1,-23.9581,-11.8105,0,0
29.2,-17.7107,-8.49902,0,0
29.3,-11.4586,-5.2031,0,0
29.4,-5.32599,-1.9872,0,0
29.5,0.572165,1.08935,0,0
